OBJECTID,Name,Jurisdiction,Area_km2,Accessible,Bridge to,Jumps,Buffer Distance (km)
444,Dolphin Island,BRITISH COLUMBIA,15.10913083,yes,no,4,1.1
229,Dowager Island,BRITISH COLUMBIA,94.20018838,yes,no,1,1.1
3235,Drake Island,BRITISH COLUMBIA,5.696711321,yes,no,3,1.1
1365,Duck Island,BRITISH COLUMBIA,1.020987592,no,no,NA,NA
1180,Dufferin Island,BRITISH COLUMBIA,40.70222643,yes,no,4,1.1
5499,Dundas Island,BRITISH COLUMBIA,149.6732187,no,no,NA,NA
5564,Dunira Island,BRITISH COLUMBIA,19.2156131,no,no,NA,NA
3381,East Redonda Island,BRITISH COLUMBIA,100.6841868,yes,no,1,2
2428,East Thurlow Island,BRITISH COLUMBIA,106.2358303,yes,no,1,1.1
2775,Eden Island,BRITISH COLUMBIA,13.34184265,yes,no,2,1.1
4909,Effingham Island,BRITISH COLUMBIA,2.226723404,yes,no,7,2
6030,Elliott Island,BRITISH COLUMBIA,1.924488326,yes,no,3,1.1
5199,Estevan Group,BRITISH COLUMBIA,58.87946833,no,no,NA,NA
5270,Estevan Group,BRITISH COLUMBIA,13.73908975,no,no,NA,NA
5285,Estevan Group,BRITISH COLUMBIA,1.111305027,no,no,NA,NA
729,Faraday Island,BRITISH COLUMBIA,3.251328743,no,no,NA,NA
5045,Farrant Island,BRITISH COLUMBIA,55.08837043,yes,no,1,1.1
5137,Fin Island,BRITISH COLUMBIA,11.92969728,yes,no,2,2
5523,Finlayson Island,BRITISH COLUMBIA,6.495232629,yes,no,1,1.1
4050,Flores Island,BRITISH COLUMBIA,152.2049853,yes,no,3,1.1
6003,Fox Island,USA,13.33373753,yes,yes,1,1.1
5417,Frederick Island,BRITISH COLUMBIA,4.694286692,no,no,NA,NA
4397,Gabriola Island,BRITISH COLUMBIA,52.76993112,yes,no,3,1.1
4524,Galiano Island,BRITISH COLUMBIA,58.29032758,yes,no,5,1.1
3911,Gambier Island,BRITISH COLUMBIA,70.39678709,yes,no,1,2
5767,Gibson Island,BRITISH COLUMBIA,2.050813527,yes,no,7,2
4962,Gil Island,BRITISH COLUMBIA,237.4871761,yes,no,4,2
2665,Gilford Island,BRITISH COLUMBIA,390.2413527,yes,no,1,1.1
1350,Goose Group,BRITISH COLUMBIA,3.036548234,no,no,NA,NA
1800,Goose Island,BRITISH COLUMBIA,18.00433092,no,no,NA,NA
4273,Gore Island,BRITISH COLUMBIA,4.222256778,yes,no,3,1.1
5813,Goschen Island,BRITISH COLUMBIA,34.86797044,yes,no,3,1.1
3671,Gowlland Island,BRITISH COLUMBIA,1.223858397,yes,no,3,1.1
6083,Graham Island,BRITISH COLUMBIA,6468.667995,no,no,NA,NA
2098,Greaves Island,BRITISH COLUMBIA,37.92954156,yes,no,1,1.1
2574,Gregory Island,BRITISH COLUMBIA,3.357539214,yes,no,1,1.1
4991,Gribbell Island,BRITISH COLUMBIA,207.0795261,yes,no,1,2
26,Guemes Island,USA,21.52752973,yes,no,1,1.1
5766,Gurd Island,BRITISH COLUMBIA,13.63815551,yes,no,3,1.1
3148,Hanson Island,BRITISH COLUMBIA,14.54215281,yes,no,2,1.1
3123,Harbledown Island,BRITISH COLUMBIA,35.7932609,yes,no,2,1.1
3297,Hardwicke Island,BRITISH COLUMBIA,76.53645324,yes,no,1,1.1
3714,Hardy Island,BRITISH COLUMBIA,7.339222922,yes,no,2,1.1
6002,Harstine Island,USA,48.89680587,yes,yes,1,1.1
3546,Harwood Island,BRITISH COLUMBIA,8.825972017,no,no,NA,NA
787,Hastings Island,BRITISH COLUMBIA,6.411653085,yes,no,2,1.1
402,Hat Island,USA,1.826331764,no,no,NA,NA
599,Hawkesbury Island,BRITISH COLUMBIA,369.3745994,yes,no,1,2
1538,Hecate Island,BRITISH COLUMBIA,46.24049245,no,no,NA,NA
2461,Helmcken Island,BRITISH COLUMBIA,1.294679372,yes,no,2,2
8,Henry Island,USA,4.126988376,no,no,NA,NA
6028,Henry Island B,BRITISH COLUMBIA,5.610386329,yes,no,3,1.1
3826,Hernando Island,BRITISH COLUMBIA,10.02290344,yes,no,5,2
6005,Herron Island,USA,1.239338597,yes,no,1,1.1
5213,Hibben Island,BRITISH COLUMBIA,33.58542555,no,no,NA,NA
5069,Hinton Island,BRITISH COLUMBIA,5.664051935,yes,no,2,1.1
595,Hippa Island,BRITISH COLUMBIA,5.109836373,no,no,NA,NA
5492,Hogan island,BRITISH COLUMBIA,7.233507133,yes,no,1,1.1
3407,Hohoae Island,BRITISH COLUMBIA,6.874794482,yes,no,3,1.1
2289,Hope Island 1,BRITISH COLUMBIA,36.48344184,yes,no,4,2
3913,Hornby Island,BRITISH COLUMBIA,30.3600213,yes,no,4,2
1195,Horsfall Island,BRITISH COLUMBIA,32.29231995,yes,no,3,1.1
1212,Hunter Island,BRITISH COLUMBIA,357.3212847,yes,no,2,1.1
1412,Hurricane Island,BRITISH COLUMBIA,4.86473616,yes,no,3,1.1
2594,Hurst Island,BRITISH COLUMBIA,3.687821504,yes,no,5,2
869,Huxley Island,BRITISH COLUMBIA,6.306835546,no,no,NA,NA
2105,Indian Island A,BRITISH COLUMBIA,1.320091859,yes,no,1,1.1
4343,Indian Island B,BRITISH COLUMBIA,1.970083129,yes,no,3,1.1
2794,Insect Island,BRITISH COLUMBIA,2.073658778,yes,no,3,1.1
17,James Island,BRITISH COLUMBIA,3.071162443,yes,no,3,1.1
816,Jane Island,BRITISH COLUMBIA,1.119101093,yes,no,2,1.1
3949,Jedediah Island,BRITISH COLUMBIA,2.797323576,no,no,NA,NA
742,Jessop Island,BRITISH COLUMBIA,2.62027509,yes,no,2,1.1
1695,Joachim Island,BRITISH COLUMBIA,1.014841994,yes,no,2,1.1
5720,Kaien Island A,BRITISH COLUMBIA,50.14591391,yes,yes,1,1.1
6158,Kaien Island B,BRITISH COLUMBIA,4.623714632,yes,yes,1,1.1
4035,Keats Island,BRITISH COLUMBIA,6.434533491,yes,no,1,1.1
5418,Kennedy Island,BRITISH COLUMBIA,44.39047557,yes,no,4,2
2335,Kent Island,BRITISH COLUMBIA,1.551253805,yes,no,7,2
1141,King Island,BRITISH COLUMBIA,821.9702014,yes,no,1,2
1957,Kinnaird Island,BRITISH COLUMBIA,2.625313796,yes,no,1,1.1
4864,Kirkendale Island,BRITISH COLUMBIA,1.581410415,no,no,NA,NA
4823,Kitsaway Island,BRITISH COLUMBIA,5.357202031,yes,no,2,2
605,Kunga Island,BRITISH COLUMBIA,4.785242768,no,no,NA,NA
1339,Kunghit Island,BRITISH COLUMBIA,129.4562975,no,no,NA,NA
5855,Kwaikans Island,BRITISH COLUMBIA,1.176860451,no,no,NA,NA
338,Lady Douglas Island,BRITISH COLUMBIA,17.54142846,yes,no,2,1.1
334,Lake Island,BRITISH COLUMBIA,4.192167793,yes,no,1,1.1
5698,Langara Island,BRITISH COLUMBIA,31.64395221,no,no,NA,NA
5209,Langthorne Island,BRITISH COLUMBIA,1.108130437,no,no,NA,NA
2586,Lanz Island,BRITISH COLUMBIA,9.306532832,no,no,NA,NA
5433,Larcom Island,BRITISH COLUMBIA,11.28278742,yes,no,1,1.1
4773,Larsen Island,BRITISH COLUMBIA,1.576231343,no,no,NA,NA
3922,Lasqueti Island,BRITISH COLUMBIA,66.13303289,no,no,NA,NA
5914,Lelu Island,BRITISH COLUMBIA,1.93591556,yes,no,1,1.1
5734,Lewis Island,BRITISH COLUMBIA,3.348187647,yes,no,3,1.1
4923,Lina Island,BRITISH COLUMBIA,4.811852134,no,no,NA,NA
303,Lopez Island,USA,77.39715769,no,no,NA,NA
558,Loretta Island,BRITISH COLUMBIA,12.06021388,yes,no,2,2
5208,Louise Island,BRITISH COLUMBIA,272.7901171,no,no,NA,NA
4738,Lummi Island,USA,23.41494324,yes,no,1,2
621,Lyell Island,BRITISH COLUMBIA,174.4643819,no,no,NA,NA
542,Maitland Island,BRITISH COLUMBIA,41.67332898,yes,no,1,2
2958,Malcolm Island,BRITISH COLUMBIA,82.45789771,yes,no,3,2
1460,Manley Island,BRITISH COLUMBIA,2.39966653,yes,no,4,1.1
3667,Marina Island,BRITISH COLUMBIA,8.796173622,yes,no,4,2
5751,Marrack Island,BRITISH COLUMBIA,1.103044929,yes,no,5,2
2846,Mars Island,BRITISH COLUMBIA,3.747768292,yes,no,3,1.1
5503,Maskelyne Island,BRITISH COLUMBIA,1.355408941,yes,no,1,1.1
4952,Maude Island,BRITISH COLUMBIA,14.18529258,no,no,NA,NA
3359,Maurelle Island,BRITISH COLUMBIA,56.86271892,yes,no,2,1.1
4890,Mayne Island,BRITISH COLUMBIA,23.28980578,yes,no,5,1.1
446,McCauley Island,BRITISH COLUMBIA,280.2726404,yes,no,2,1.1
4097,McKay Island,BRITISH COLUMBIA,2.188540673,yes,no,3,1.1
5419,McMicking Island,BRITISH COLUMBIA,3.397762501,yes,no,3,1.1
1362,McNaughton Group A,BRITISH COLUMBIA,3.983554171,yes,no,3,1.1
1825,McNaughton Group B,BRITISH COLUMBIA,4.035305784,yes,no,3,1.1
1857,McNaughton Group C,BRITISH COLUMBIA,2.460722267,yes,no,3,1.1
1867,McNaughton Group D,BRITISH COLUMBIA,1.04095151,yes,no,3,1.1
6007,McNeil Island,USA,17.68784812,yes,no,1,1.1
4167,Meares Island,BRITISH COLUMBIA,80.88851102,yes,no,3,1.1
5667,Melville Island,BRITISH COLUMBIA,24.26117282,no,no,NA,NA
2988,Midsummer Island,BRITISH COLUMBIA,5.745292123,yes,no,2,1.1
3605,Mink Island,BRITISH COLUMBIA,3.124582243,yes,no,1,1.1
3036,Minstrel Island,BRITISH COLUMBIA,4.315159425,yes,no,1,1.1
3662,Moketas Island,BRITISH COLUMBIA,5.087114657,yes,no,3,1.1
728,Moore Islands,BRITISH COLUMBIA,2.00714642,no,no,NA,NA
4761,Moresby Island,BRITISH COLUMBIA,6.027892325,yes,no,8,2
4917,Moresby Island,BRITISH COLUMBIA,2624.846696,no,no,NA,NA
4442,Mudge Island,BRITISH COLUMBIA,2.157848686,yes,no,3,1.1
725,Murchison Island,BRITISH COLUMBIA,4.173879893,no,no,NA,NA
1500,Nalau Island,BRITISH COLUMBIA,13.20867323,yes,no,3,1.1
3683,Nelson Island,BRITISH COLUMBIA,102.0033691,yes,no,1,1.1
4618,Nettle Island,BRITISH COLUMBIA,1.435872678,yes,no,3,1.1
4399,Newcastle Island,BRITISH COLUMBIA,3.136010366,yes,no,3,1.1
5254,Nichol Island,BRITISH COLUMBIA,1.400495099,no,no,NA,NA
1895,Nigei Island,BRITISH COLUMBIA,61.85925881,yes,no,3,2
3976,Nootka Island,BRITISH COLUMBIA,520.5945479,yes,no,3,1.1
3729,Nootka Islet A,BRITISH COLUMBIA,4.108207081,yes,no,4,1.1
2525,North Broughton Island,BRITISH COLUMBIA,44.60322351,yes,no,1,1.1
2757,Numas Islands,BRITISH COLUMBIA,1.538374833,no,no,NA,NA
4038,Obstruction Island,BRITISH COLUMBIA,7.503618629,yes,no,3,1.1
165,Orcas Island,USA,150.3372012,no,no,NA,NA
3002,Owl Island,BRITISH COLUMBIA,1.06179354,yes,no,3,1.1
5086,Parker Island,BRITISH COLUMBIA,1.613697384,yes,no,6,1.1
4049,Pasley Island,BRITISH COLUMBIA,1.022239687,yes,no,2,2
5448,Pearse Island,BRITISH COLUMBIA,221.5314977,no,no,NA,NA
3162,Pearse Islands,BRITISH COLUMBIA,1.326896742,yes,no,4,2
4663,Pender Island,BRITISH COLUMBIA,27.31008488,yes,no,6,1.1
4544,Penelakut Island,BRITISH COLUMBIA,9.445836582,yes,no,5,1.1
2043,Penrose Island,BRITISH COLUMBIA,11.62014076,yes,no,1,1.1
5927,Philip Island,BRITISH COLUMBIA,2.600882944,yes,no,5,2
1634,Piddington Island,BRITISH COLUMBIA,6.378566323,yes,no,3,1.1
175,Piers Island,BRITISH COLUMBIA,1.01827706,yes,no,3,1.1
5783,Pitt Island,BRITISH COLUMBIA,1384.209639,yes,no,1,1.1
2709,Polkinghorne Islands,BRITISH COLUMBIA,1.104550623,yes,no,2,1.1
629,Pooley Island,BRITISH COLUMBIA,163.2310244,yes,no,1,1.1
6159,Porcher Island,BRITISH COLUMBIA,527.8670929,yes,no,2,1.1
4755,Portage Island,USA,3.868621158,yes,no,1,1.1
4759,Portland Island,BRITISH COLUMBIA,2.258535214,yes,no,5,2
1108,Potts Island,BRITISH COLUMBIA,5.757195219,yes,no,4,1.1
5968,Prescott Island,BRITISH COLUMBIA,16.28904147,yes,no,3,2
4911,Prevost Island,BRITISH COLUMBIA,6.671224098,yes,no,4,1.1
